Date,open,high,low,close,volume,change,1month_close,1month_change,TARGET,_qcut,macd,macd_signal,macd_hist,bol_upperband,bol_middleband,bol_lowerband,bolinger_pca
2013-09-03,86000,87200,85600,85600,43736,-0.01382488479262678,92900.0,0.0852803738317757,1.0,3.0,-21.800101373330108,329.28892593061926,-351.08902730394936,89964.01980784467,87465.0,84965.98019215533,-53406.24860335907
2013-09-04,85400,86900,85400,85900,43256,0.003504672897196359,89700.0,0.04423748544819558,1.0,1.0,-95.176516211126,244.39583750227018,-339.5723537133962,89860.69160507558,87330.0,84799.30839492442,-53634.75687902755
2013-09-05,86200,87000,85900,86300,35466,0.00465657741559955,89700.0,0.039397450753186555,1.0,1.0,-119.67169574261061,171.58233085329402,-291.25402659590463,89554.81091685873,87175.0,84795.18908314127,-53922.298007984675
2013-09-06,86500,87700,85900,87500,59093,0.013904982618771822,87900.0,0.004571428571428572,-3.0,0.0,-41.77279998245649,128.91130468614392,-170.6841046686004,89211.23500579875,87075.0,84938.76499420125,-54127.47321270862
2013-09-09,87900,87900,86900,87500,44213,0.0,89200.0,0.019428571428571427,0.0,0.0,19.73514170976705,107.07607209086855,-87.3409303811015,88905.09790872424,86990.0,85074.90209127576,-54303.76791212699
2013-09-10,87500,89000,87100,88000,91651,0.005714285714285783,89800.0,0.020454545454545454,0.0,0.0,107.58626250328962,107.17811017335276,0.40815232993685413,88996.72494083442,87090.0,85183.27505916558,-54132.47361006588
2013-09-11,89000,90100,88900,89800,129153,0.020454545454545503,88500.0,-0.014476614699331848,-3.0,-3.0,318.7791775124206,149.49832364116634,169.28085387125424,89475.53125677098,87240.0,85004.46874322902,-53829.626890800806
2013-09-12,90100,90600,88900,90600,83757,0.008908685968819663,89700.0,-0.009933774834437087,-3.0,-3.0,544.4285647416546,228.48437186126398,315.9441928803906,90071.35761168724,87465.0,84858.64238831276,-53391.814319312274
2013-09-13,90600,92300,90100,91200,46494,0.0066225165562914245,88900.0,-0.025219298245614034,-3.0,-3.0,762.8783289270505,335.36316327442125,427.5151656526292,90730.11400439788,87660.0,84589.88599560212,-52993.23103037381
2013-09-16,91000,92000,90100,91300,19996,0.0010964912280702066,89800.0,-0.01642935377875137,-3.0,-3.0,933.3118669192772,454.95290400339246,478.3589629158848,91280.93692072063,87825.0,84369.06307927937,-52656.853947386575
2013-09-17,91000,92300,89000,92300,51472,0.010952902519167473,90000.0,-0.024918743228602384,-3.0,-3.0,1135.9784637289267,591.1580159484993,544.8204477804275,92009.5843611139,88040.0,84070.4156388861,-52217.07749263402
2013-09-23,92300,92900,91400,92000,78873,-0.00325027085590468,89100.0,-0.03152173913043478,-3.0,-3.0,1257.8855869988329,724.503530158566,533.3820568402668,92568.23289576705,88240.0,83911.76710423295,-51824.007602125785
2013-09-24,91100,93900,90800,93300,82264,0.01413043478260878,88500.0,-0.05144694533762058,-5.0,-5.0,1442.7656911333906,868.155962353531,574.6097287798597,93368.22281421599,88530.0,83691.77718578401,-51255.407799144996
2013-09-25,92800,93700,92400,93600,51641,0.003215434083601254,87900.0,-0.060897435897435896,-5.0,-5.0,1595.104625242995,1013.5456949314238,581.5589303115713,94099.62404686648,88780.0,83460.37595313352,-50759.62057223602
2013-09-26,93200,93800,91500,93600,66875,0.0,87500.0,-0.06517094017094018,-5.0,-5.0,1696.280660511271,1150.0926880473933,546.1879724638777,94763.89268663067,89075.0,83386.10731336933,-50201.32329333189
2013-09-27,93200,94000,92500,93800,40276,0.002136752136752129,86100.0,-0.08208955223880597,-5.0,-5.0,1772.1732162284607,1274.5087936836067,497.664422544854,95381.304205606,89400.0,83418.695794394,-49601.6353214406
2013-09-30,93700,93800,92600,92700,9883,-0.011727078891258014,87500.0,-0.05609492988133765,-5.0,-5.0,1723.6882018618198,1364.3446753192493,359.34352654257054,95667.37726379569,89735.0,83802.62273620431,-49030.6069176592
2013-10-01,92000,94900,92000,94500,45417,0.01941747572815533,87300.0,-0.0761904761904762,-5.0,-5.0,1809.6479404422425,1453.405328343848,356.2426120983946,96279.90949250269,90065.0,83850.09050749731,-48423.62645337842
2013-10-02,93500,95900,93300,95500,39660,0.010582010582010692,87400.0,-0.08481675392670157,-5.0,-5.0,1936.1446251939487,1549.9531877138681,386.1914374800806,96778.6670616539,90590.0,84401.3329383461,-47521.94905002091
