Date,open,high,low,close,volume,change,ma5,ma10,ma20,ma60,ma120,upperband,middleband,lowerband
2019-07-18,46450,46450,45650,46100,5143554,0.0010857763300760048,46350.0,45865.0,45945.0,44505.0,45029.583333333336,47155.33053336682,45945.0,44734.66946663318
2019-07-19,46650,46950,46600,46800,8819393,0.015184381778741818,46450.0,45980.0,46000.0,44531.666666666664,45069.583333333336,47259.76188226188,46000.0,44740.23811773812
2019-07-22,46800,47300,46600,47200,9009109,0.008547008547008517,46600.0,46260.0,46085.0,44572.5,45104.166666666664,47425.18655417819,46085.0,44744.81344582181
2019-07-23,47350,47550,47050,47300,9061381,0.0021186440677967155,46690.0,46480.0,46170.0,44616.666666666664,45125.416666666664,47589.64784365701,46170.0,44750.35215634299
2019-07-24,47100,47150,46250,46400,8756522,-0.019027484143763207,46760.0,46565.0,46205.0,44642.5,45136.666666666664,47611.0227594175,46205.0,44798.9772405825
2019-07-25,47150,47200,46600,47200,8408838,0.01724137931034475,46980.0,46665.0,46240.0,44660.0,45150.833333333336,47707.17415462514,46240.0,44772.82584537486
2019-07-26,46650,47150,46550,47150,7873886,-0.0010593220338983578,47050.0,46750.0,46247.5,44681.666666666664,45157.083333333336,47731.57378522767,46247.5,44763.42621477233
2019-07-29,46800,47050,46000,46100,6856846,-0.022269353128313907,46830.0,46715.0,46222.5,44685.0,45156.666666666664,47698.804507884466,46222.5,44746.195492115534
2019-07-30,46300,46850,46300,46550,5551014,0.009761388286334105,46680.0,46685.0,46237.5,44705.833333333336,45158.333333333336,47720.697559329165,46237.5,44754.302440670835
2019-07-31,46200,46600,45000,45350,12872916,-0.025778732545649885,46470.0,46615.0,46235.0,44714.166666666664,45151.25,47723.992948270745,46235.0,44746.007051729255
2019-08-01,44900,45500,44850,45200,7811181,-0.003307607497243681,46070.0,46525.0,46195.0,44730.0,45154.583333333336,47748.67306728282,46195.0,44641.32693271718
2019-08-02,44550,45500,44300,44950,12151374,-0.00553097345132747,45630.0,46340.0,46160.0,44771.666666666664,45154.166666666664,47790.8280105517,46160.0,44529.1719894483
2019-08-05,44350,44600,43600,43950,14214086,-0.022246941045606206,45200.0,46015.0,46137.5,44789.166666666664,45136.666666666664,47873.83954052772,46137.5,44401.16045947228
2019-08-06,42500,43800,42500,43500,15083824,-0.010238907849829393,44590.0,45635.0,46057.5,44803.333333333336,45114.166666666664,48098.40053652793,46057.5,44016.59946347207
2019-08-07,43600,43900,43100,43200,10002533,-0.006896551724137945,44160.0,45315.0,45940.0,44812.5,45078.333333333336,48325.707442248524,45940.0,43554.292557751476
2019-08-08,43250,43500,42650,42650,16926881,-0.01273148148148151,43650.0,44860.0,45762.5,44814.166666666664,45050.0,48540.42638491376,45762.5,42984.57361508624
2019-08-09,43250,43350,43050,43150,9685147,0.011723329425556761,43290.0,44460.0,45605.0,44840.833333333336,45024.583333333336,48592.45711266287,45605.0,42617.54288733713
